Designator,Mid X,Mid Y,Rotation,Layer
C10,183.485,-57.3675,180.0,bottom
C100,147.46,-106.68625,180.0,bottom
C101,226.76,-120.88625,0.0,bottom
C102,150.56,-120.88625,0.0,bottom
C103,114.16,-68.58625,180.0,bottom
C104,247.46,-68.58625,180.0,bottom
C105,245.76,-120.88625,0.0,bottom
C106,250.56,-82.78625,0.0,bottom
C107,128.46,-106.68625,180.0,bottom
C108,261.76,-106.68625,180.0,bottom
C109,117.16,-82.78625,0.0,bottom
C11,176.36,-62.18625,0.0,bottom
C110,131.46,-120.88625,0.0,bottom
C111,266.56,-68.58625,180.0,bottom
C112,95.06,-68.58625,180.0,bottom
C113,112.46,-120.88625,0.0,bottom
C114,109.36,-106.68625,180.0,bottom
C115,98.16,-82.78625,0.0,bottom
C116,269.56,-82.78625,0.0,bottom
C117,264.86,-120.88625,0.0,bottom
C118,280.86,-106.68625,180.0,bottom
C119,76.06,-68.58625,180.0,bottom
C12,172.56,-57.38625,0.0,bottom
C120,288.66,-82.78625,0.0,bottom
C121,285.56,-68.58625,180.0,bottom
C123,90.36,-106.68625,180.0,bottom
C124,83.16,-144.68625,180.0,bottom
C125,79.06,-82.78625,0.0,bottom
C126,93.36,-120.88625,0.0,bottom
C127,56.96,-68.58625,180.0,bottom
C128,64.16,-106.68625,180.0,bottom
C129,311.76,-106.68625,180.0,bottom
C13,173.185,-53.3675,0.0,bottom
C130,314.16,-68.58625,180.0,bottom
C131,59.36,-144.68625,180.0,bottom
C132,55.26,-82.78625,0.0,bottom
C133,109.36,-39.98625,180.0,bottom
C134,166.56,-39.98625,180.0,bottom
C135,62.46,-120.88625,0.0,bottom
C136,297.46,-144.68625,180.0,bottom
C137,309.36,-39.98625,180.0,bottom
C138,280.86,-39.98625,180.0,bottom
C139,252.26,-39.98625,180.0,bottom
C14,173.185,-52.3675,0.0,bottom
C140,223.66,-39.98625,180.0,bottom
C141,300.56,-120.88625,0.0,bottom
C142,92.66,-29.28625,180.0,bottom
C143,109.36,-29.28625,180.0,bottom
C144,126.06,-29.28625,180.0,bottom
C145,142.66,-29.28625,180.0,bottom
C146,159.36,-29.28625,180.0,bottom
C147,135.5225,-144.68625,180.0,bottom
C148,156.96,-144.68625,180.0,bottom
C149,199.87875,-144.68625,180.0,bottom
C150,221.2975,-144.68625,180.0,bottom
C151,321.36,-144.705,180.0,bottom
C152,273.66,-144.68625,180.0,bottom
C153,106.96,-144.68625,180.0,bottom
C154,249.86,-144.68625,180.0,bottom
C155,312.46,-82.78625,0.0,bottom
C24,178.885,-61.6675,270.0,bottom
C25,179.285,-66.6675,180.0,bottom
